subj,n_trials,converged,NLL,d,w1,tau,s,T0,F,sigma_rt
1536,141,True,171.50733329429207,0.428798765535224,2.7486801790138617,-0.7556133376782833,0.4555593814491948,0.35273757943666656,0.7129104999570536,0.6481952847576602
1538,150,True,176.46863204904352,0.048440290130317726,3.0357356591364146,0.8925405047880969,0.08149656117316469,0.8302326656283393,2.637563386705058,0.45361832255166
1540,130,True,174.90299901081178,0.22284040506899663,3.4781207625496386,-2.964479893206717,1.3677139000367755,0.0,2.873009629011553,0.6089681295535697
1542,136,True,161.56280544133207,0.5687810008488601,1.5977443755246465,-1.842864005533316,0.48584231751902035,1.6264396691637573,0.041038588650304984,0.5117024631674455
1548,86,True,140.623411992901,0.013410553521188504,3.9416032091765913,1.3470811060289927,0.05045633681352499,1.5572789408830592,5.164814902898308,0.9362355647156683
1552,121,True,143.99136973784795,0.10846132954485463,17.154019434267415,2.0536029696366196,0.14228542131909785,0.7885984097930177,9.999831733166914,0.5373534691637198
1557,151,True,192.93516610237904,0.29547963004023875,2.046246359229094,-0.9454686119717177,0.47226160493897024,1.4707207377196867,0.3413519056102157,0.48453559899008014
28000,125,True,203.39049562794287,0.3402198047634099,45.27894944215539,-0.23887526525066852,1.4599030905718537,1.2054782229898682,10.0,0.629298888725304
28234,97,True,146.8647169815872,0.2082844919078644,5.552978259668773,0.5816765332264228,0.3892382832634529,0.0,5.885489291441681,0.5784117128722578
28308,170,True,164.67344754941374,0.03658890206281832,1.201753683719423,-2.626585391332305,1.1402601130541214,1.0242859357725307,0.6991795729577798,0.4598451920177112
28309,104,True,134.55639343690507,0.01,1.4681115937890288,0.5836632406253186,0.2777884695869899,2.0,0.8572334207527904,0.5189083787863439
28999,19,True,-0.826615082266638,1.5,200.0,2.330436291552528,0.05,1.1422367829094977,0.001,0.1400678272958279
29212,183,True,198.32178591711394,0.20808423879757634,3.2424372778280253,-0.24304618461299657,0.3447425354261898,0.38471301436802857,1.6819272061343598,0.4400123043705831
29220,112,True,131.35681002423595,1.4096030410337765,0.253405449516446,-8.929695605847717,2.8899867867988895,1.5703766843690896,0.001,0.47809686356253617
29221,175,True,206.7499032201225,0.03602430957673632,4.612044248984946,1.3498038916195894,0.05,1.5737571768403613,0.001,0.5029176148990216
29227,111,True,149.0769425303232,0.11266285212189331,7.844140771782218,1.2106014071987237,0.13310806013632825,0.25303090186069593,10.0,0.5193058523070527
29230,221,True,188.45162836050812,0.19603549919453156,4.300261212175776,-0.2229896802661835,0.3627185084185006,0.8636042324408407,0.7945341593908427,0.43678692369234207
